Metrics,Participant_ID,Group_ID,T0,P1,T1,P2,T2,P3,T3,P4,T4,P5,T5
Correctness,1,1,0,0,0,0,1,0,0,0,0,0,0
Correctness,2,2,0,0,0,1,1,0,1,1,0,1,1
Correctness,3,3,0,1,1,1,1,0,1,0,1,0,1
Correctness,4,4,1,0,0,1,1,1,1,0,1,1,1
Correctness,5,1,0,0,0,0,1,0,0,1,0,1,1
Correctness,6,2,1,1,0,1,1,0,1,1,1,1,1
Correctness,7,3,0,0,0,1,1,0,1,1,1,0,0
Correctness,8,4,0,0,0,1,0,0,1,1,1,1,1
Correctness,9,1,0,1,0,1,1,0,1,0,1,0,0
Correctness,10,2,1,1,1,1,1,0,0,0,1,0,1
Correctness,11,3,0,1,1,1,1,0,1,1,1,1,1
Correctness,12,4,0,1,1,1,1,1,1,0,1,1,1
Correctness,13,1,1,0,0,0,0,0,1,1,1,0,0
Correctness,14,2,0,0,0,1,0,1,0,0,0,1,0
Correctness,15,3,0,0,1,0,1,1,0,1,1,1,1
Correctness,16,3,1,1,1,1,0,1,1,1,0,1,1
Correctness,17,2,1,1,0,1,1,1,1,1,1,1,1
Correctness,18,4,0,1,1,1,1,1,0,0,0,1,1
Correctness,19,4,0,1,1,0,1,1,1,0,1,0,0
Correctness,21,1,0,1,0,0,0,1,1,1,0,,
Correctness,22,1,0,1,0,0,0,0,0,1,0,1,1
Correctness,23,4,1,1,1,0,1,1,0,1,1,1,1
Correctness,24,3,1,0,0,0,0,0,0,0,0,0,0
Correctness,25,2,0,0,0,1,1,,,,,,
Correctness,26,4,0,1,1,1,1,1,1,1,1,1,1
Correctness,27,1,1,0,1,0,1,1,1,1,1,0,1
Correctness,28,3,0,0,0,0,0,0,1,0,0,1,0
Correctness,29,2,0,1,0,0,0,1,0,0,1,0,0
Correctness,30,2,0,0,0,0,0,1,0,0,1,0,0
Correctness,31,1,1,1,0,1,1,0,1,1,1,0,0
Correctness,33,2,1,0,1,0,0,0,0,1,0,0,0
Correctness,34,3,0,1,1,1,0,1,0,1,1,0,0
Correctness,37,4,1,0,1,1,1,1,1,1,1,1,1
Correctness,38,3,1,1,0,0,1,1,1,0,0,0,0
Correctness,39,3,0,0,0,0,1,0,0,0,0,1,0
Correctness,41,1,0,1,1,0,0,1,0,0,1,0,0
Correctness,42,4,0,1,1,0,1,1,1,0,1,1,0
Correctness,46,2,0,1,0,0,0,0,1,0,0,1,0
Correctness,47,4,0,1,1,1,1,1,1,1,1,0,1
Correctness,51,1,0,0,0,1,0,1,1,0,0,1,1
Correctness,54,2,0,0,0,1,1,1,1,1,0,0,0
