Participant_ID,Group_ID,T0,P1,T1,P2,T2,P3,T3,P4,T4,P5,T5
1,1,44.42,30.42,36.58,53.23,24.25,30.89,25.03,20.31,34.46,43.38,52.73
2,2,20.22,25.24,37.19,19.81,25.2,34.75,21.58,29.03,28.32,32.39,36.68
3,3,29.27,43.54,33.21,28.2,9.36,21.08,34.47,7.88,25.98,20.93,18.87
4,4,28.38,45.25,,7.26,33.38,19.49,32.91,37.37,11.77,6.34,3.26
5,1,55.44,8.31,22.41,17.85,39.49,43.99,21.63,40.89,21.05,27.13,24.67
6,2,34.2,33.31,,13.82,7.63,26.29,30.74,6.17,8.51,14.59,10.52
7,3,22.17,52.5,,18.33,7.59,40.41,16.22,9.3,10.95,6.1,13.45
8,4,49.27,30.41,,46.24,15.17,45.27,22.35,34.87,24.33,30.25,39.14
9,1,30.47,16.37,35.21,12.14,7.17,28.49,17.4,14.81,18.05,27.27,21.56
10,2,21.2,25.25,5.49,16.38,4.55,18.5,15.28,9.69,4.98,12.39,14.09
11,3,38.16,25.2,5.49,21.41,8.88,36.08,5.14,13.37,20.52,9.33,19.98
12,4,60,26.31,7.64,30.76,9.7,42.03,8.22,25.5,10.9,17.59,10.32
13,1,40.48,36.22,,18.08,17.98,15.77,27.86,13.44,13.81,8.63,40.67
14,2,51.49,10.53,37.74,17.85,37.58,11.66,28.43,15.04,31.05,25.15,28.18
15,3,49.34,18.49,16.13,27.2,18.59,18.2,38.04,26.16,12.46,15.81,19.14
16,3,28.21,14.69,26.99,17.02,21.55,30.67,19.46,15.85,38.81,14.19,16.37
17,2,42.23,20.36,33.43,16.26,11.56,21.73,9.68,27.87,13.2,12.92,24.05
18,4,35.43,14.97,6.91,14.24,6.45,17.38,14.63,30.97,14.88,6.12,11.5
19,4,47.82,18.27,14.52,31.5,5,11.49,14.26,44.12,5.7,49.67,15.21
21,1,40.87,8.42,31.27,31.48,20.48,14.64,22.24,21.38,18.94,,
22,1,29.7,27.02,17.2,23.4,20.03,17.11,21.18,26.43,42.3,24.45,25.26
23,4,38.29,50.53,7.98,27.39,23.94,30.35,15.22,28.96,14.57,27,18.2
24,3,37.46,35.65,18.98,29.56,13.41,48.59,28.49,28.99,29.88,19.15,21.53
25,2,39.01,32.37,34.89,25.24,15.84,,,,,,
26,4,29.25,25.37,7.31,10.51,8.3,12.43,8.19,5.18,8.32,6.36,8.77
27,1,15.47,25.53,23.33,7.32,14.36,16.4,10.47,11.45,8.02,6.6,18.63
28,3,45.73,60,60,46.44,60,45.35,22.53,26.52,26.4,36.21,44.29
29,2,56.93,47.32,60,56.12,62.61,44.23,35.55,33.34,35.19,49.53,34.52
30,2,24.38,14.37,23.1,46.12,18.09,22.63,18.67,14.35,31.33,31.78,27.06
31,1,58.7531,19.1123,13.0724,12.0833,24.5167,25.2327,23.3833,9.546,17.4391,24.95,24.4809
33,2,18.0362,21.9422,20.5697,9.1833,19.964,25.4335,35.0566,7.0891,11.1261,11.1833,5.5833
37,4,49.1881,26.4043,44.7501,15.0579,20.2577,38.0324,9.411,10.0114,15.5214,11.43,6.7
38,3,37.0892,30.4238,20.3717,44.6833,43.3314,54.2376,46.1713,36.4787,37.1257,58.16,36.89
39,3,52.4868,27.3865,36.59,58.1334,33.6591,26.8667,33.8334,26.2181,44.1115,25.85,11.5
41,1,54.2089,23.425,33.6011,48.2333,32.2827,26.2667,35.27,35.2587,31.1794,47.3328,42.1559
42,4,18.0288,23.0733,7.5536,12.9478,10.4702,8.8167,5.6165,17.55,8.7,9.31,6.4667
46,2,34.4034,33.8516,28.1025,12.5127,30.4031,19.1163,26.331,28.4399,32.3828,28.72,16.05
47,4,37.3092,16.3555,11.1786,26.2482,15.0607,12.3953,10.022,13.461,13.5693,23.78,16.29
