session,g1,g2,t,p,holm_threshold,reject_at_alpha
0.0,1,2,1.161847389099337,0.25898506695146134,0.008333333333333333,False
0.0,1,3,0.6864896731502375,0.5012751070855112,0.01,False
0.0,1,4,0.4707427713789913,0.6431846709128686,0.0125,False
0.0,2,3,-0.6724481857328947,0.5100856048559979,0.016666666666666666,False
0.0,2,4,-0.7344767267440364,0.4716403683263145,0.025,False
0.0,3,4,-0.16254729696033088,0.8727997683293172,0.05,False
1.0,1,2,0.04183540706297134,0.967188938777878,0.008333333333333333,True
1.0,1,3,0.6895618787488568,0.5013239725830771,0.01,True
1.0,1,4,3.66944185187224,0.0037128755753332043,0.0125,False
1.0,2,3,0.5396054310192859,0.5960876895513856,0.016666666666666666,False
1.0,2,4,3.0766299955221674,0.007605919109722809,0.025,False
1.0,3,4,2.5263770982806704,0.02297739351699663,0.05,False
2.0,1,2,0.37386337976211,0.7132363538196504,0.008333333333333333,False
2.0,1,3,0.05964877790185219,0.9531346880401802,0.01,False
2.0,1,4,2.1412055617118413,0.04729867163356114,0.0125,False
2.0,2,3,-0.26577112091464167,0.7931383609459055,0.016666666666666666,False
2.0,2,4,1.3782048099987108,0.18433194950662765,0.025,False
2.0,3,4,1.689079667359113,0.10764226518116873,0.05,False
3.0,1,2,0.07596125450672836,0.940292685648608,0.008333333333333333,True
3.0,1,3,0.10335403331762935,0.9189530817974801,0.01,True
3.0,1,4,3.24824499185344,0.0052228554778761165,0.0125,False
3.0,2,3,0.04025006123353509,0.9683440110257153,0.016666666666666666,False
3.0,2,4,2.982170790336811,0.008387886697398044,0.025,False
3.0,3,4,2.5240974928910918,0.02066898922134465,0.05,False
4.0,1,2,0.7048025908094374,0.4906474474035185,0.008333333333333333,True
4.0,1,3,-0.18740512991138486,0.8532565847757856,0.01,True
4.0,1,4,3.186807042075916,0.004969193263210042,0.0125,False
4.0,2,3,-0.8832550638677827,0.39056265193371253,0.016666666666666666,False
4.0,2,4,1.7967350487327467,0.09330797679455334,0.025,False
4.0,3,4,3.6181753822534697,0.0018357921790197736,0.05,False
5.0,1,2,1.5004162231869664,0.15325380530330376,0.008333333333333333,True
5.0,1,3,1.8823440748707174,0.07523209529185461,0.01,False
5.0,1,4,3.85755923287328,0.0016375609275137185,0.0125,False
5.0,2,3,0.06582412928375045,0.9482838064689412,0.016666666666666666,False
5.0,2,4,2.1883333666910905,0.04234903450328121,0.025,False
5.0,3,4,2.3732369954870562,0.03080961588766314,0.05,False
