Participant_ID,Group_ID,session,correctness,time_min,time_sec
1,1,P1,0.0,30.42,1825.2
1,1,P2,0.0,53.23,3193.7999999999997
1,1,P3,0.0,30.89,1853.4
1,1,P4,0.0,20.31,1218.6
1,1,P5,0.0,43.38,2602.8
1,1,T0,0.0,44.42,2665.2000000000003
1,1,T1,0.0,36.58,2194.7999999999997
1,1,T2,1.0,24.25,1455.0
1,1,T3,0.0,25.03,1501.8000000000002
1,1,T4,0.0,34.46,2067.6
1,1,T5,0.0,52.73,3163.7999999999997
2,2,P1,0.0,25.24,1514.3999999999999
2,2,P2,1.0,19.81,1188.6
2,2,P3,0.0,34.75,2085.0
2,2,P4,1.0,29.03,1741.8000000000002
2,2,P5,1.0,32.39,1943.4
2,2,T0,0.0,20.22,1213.1999999999998
2,2,T1,0.0,37.19,2231.3999999999996
2,2,T2,1.0,25.2,1512.0
2,2,T3,1.0,21.58,1294.8
2,2,T4,0.0,28.32,1699.2
2,2,T5,1.0,36.68,2200.8
3,3,P1,1.0,43.54,2612.4
3,3,P2,1.0,28.2,1692.0
3,3,P3,0.0,21.08,1264.8
3,3,P4,0.0,7.88,472.8
3,3,P5,0.0,20.93,1255.8
3,3,T0,0.0,29.27,1756.2
3,3,T1,1.0,33.21,1992.6000000000001
3,3,T2,1.0,9.36,561.5999999999999
3,3,T3,1.0,34.47,2068.2
3,3,T4,1.0,25.98,1558.8
3,3,T5,1.0,18.87,1132.2
4,4,P1,0.0,45.25,2715.0
4,4,P2,1.0,7.26,435.59999999999997
4,4,P3,1.0,19.49,1169.3999999999999
4,4,P4,0.0,37.37,2242.2
4,4,P5,1.0,6.34,380.4
4,4,T0,1.0,28.38,1702.8
4,4,T1,0.0,,
4,4,T2,1.0,33.38,2002.8000000000002
4,4,T3,1.0,32.91,1974.6
4,4,T4,1.0,11.77,706.1999999999999
4,4,T5,1.0,3.26,195.6
5,1,P1,0.0,8.31,498.6
5,1,P2,0.0,17.85,1071.0
5,1,P3,0.0,43.99,2639.4
5,1,P4,1.0,40.89,2453.4
5,1,P5,1.0,27.13,1627.8
5,1,T0,0.0,55.44,3326.3999999999996
5,1,T1,0.0,22.41,1344.6
5,1,T2,1.0,39.49,2369.4
5,1,T3,0.0,21.63,1297.8
5,1,T4,0.0,21.05,1263.0
5,1,T5,1.0,24.67,1480.2
6,2,P1,1.0,33.31,1998.6000000000001
6,2,P2,1.0,13.82,829.2
6,2,P3,0.0,26.29,1577.3999999999999
6,2,P4,1.0,6.17,370.2
6,2,P5,1.0,14.59,875.4
6,2,T0,1.0,34.2,2052.0
6,2,T1,0.0,,
6,2,T2,1.0,7.63,457.8
6,2,T3,1.0,30.74,1844.3999999999999
6,2,T4,1.0,8.51,510.59999999999997
6,2,T5,1.0,10.52,631.1999999999999
7,3,P1,0.0,52.5,3150.0
7,3,P2,1.0,18.33,1099.8
7,3,P3,0.0,40.41,2424.6
7,3,P4,1.0,9.3,558.0
7,3,P5,0.0,6.1,366.0
7,3,T0,0.0,22.17,1330.2
7,3,T1,0.0,,
7,3,T2,1.0,7.59,455.4
7,3,T3,1.0,16.22,973.1999999999999
7,3,T4,1.0,10.95,657.0
7,3,T5,0.0,13.45,807.0
8,4,P1,0.0,30.41,1824.6
8,4,P2,1.0,46.24,2774.4
8,4,P3,0.0,45.27,2716.2000000000003
8,4,P4,1.0,34.87,2092.2
8,4,P5,1.0,30.25,1815.0
8,4,T0,0.0,49.27,2956.2000000000003
8,4,T1,0.0,,
8,4,T2,0.0,15.17,910.2
8,4,T3,1.0,22.35,1341.0
8,4,T4,1.0,24.33,1459.8
8,4,T5,1.0,39.14,2348.4
9,1,P1,1.0,16.37,982.2
9,1,P2,1.0,12.14,728.4000000000001
9,1,P3,0.0,28.49,1709.3999999999999
9,1,P4,0.0,14.81,888.6
9,1,P5,0.0,27.27,1636.2
9,1,T0,0.0,30.47,1828.1999999999998
9,1,T1,0.0,35.21,2112.6
9,1,T2,1.0,7.17,430.2
9,1,T3,1.0,17.4,1044.0
9,1,T4,1.0,18.05,1083.0
9,1,T5,0.0,21.56,1293.6
10,2,P1,1.0,25.25,1515.0
10,2,P2,1.0,16.38,982.8
10,2,P3,0.0,18.5,1110.0
10,2,P4,0.0,9.69,581.4
10,2,P5,0.0,12.39,743.4000000000001
10,2,T0,1.0,21.2,1272.0
10,2,T1,1.0,5.49,329.40000000000003
10,2,T2,1.0,4.55,273.0
10,2,T3,0.0,15.28,916.8
10,2,T4,1.0,4.98,298.8
10,2,T5,1.0,14.09,845.4
11,3,P1,1.0,25.2,1512.0
11,3,P2,1.0,21.41,1284.6
11,3,P3,0.0,36.08,2164.7999999999997
11,3,P4,1.0,13.37,802.1999999999999
11,3,P5,1.0,9.33,559.8
11,3,T0,0.0,38.16,2289.6
11,3,T1,1.0,5.49,329.40000000000003
11,3,T2,1.0,8.88,532.8000000000001
11,3,T3,1.0,5.14,308.4
11,3,T4,1.0,20.52,1231.2
11,3,T5,1.0,19.98,1198.8
12,4,P1,1.0,26.31,1578.6
12,4,P2,1.0,30.76,1845.6000000000001
12,4,P3,1.0,42.03,2521.8
12,4,P4,0.0,25.5,1530.0
12,4,P5,1.0,17.59,1055.4
12,4,T0,0.0,60.0,3600.0
12,4,T1,1.0,7.64,458.4
12,4,T2,1.0,9.7,582.0
